"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p10dakkh""","Link","Location","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Location","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pqbph781""","Card Break","Analytics","2020-03-02 17:23:34.339274","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pjgmkbip""","Link","Plant Analysis","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Plant Analysis","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p39ac1pc""","Link","Soil Analysis","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Soil Analysis","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pk7gslte""","Link","Water Analysis","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Water Analysis","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p94u9mut""","Link","Soil Texture","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Soil Texture","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p8kmfq6r""","Link","Weather","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Weather","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pq428u6t""","Link","Agriculture Analysis Criteria","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Agriculture Analysis Criteria","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7p61cjiea""","Card Break","Diseases & Fertilizers","2020-03-02 17:23:34.339274","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7pqe3vog6""","Link","Disease","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Disease","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b7piul66ic""","Link","Fertilizer","2020-03-02 17:23:34.339274","Administrator","","",0,"DocType","Fertilizer","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","""Assets""","Assets","Assets","Workspace","2020-03-02 15:43:27.634865","Administrator",7.0,"","","Assets","erpnext","","","","assets","","",0,1,0,"","","","","","","","""nitvom0n63""","Asset Value Analytics","2020-03-02 15:43:27.634865","Administrator","Asset Value Analytics","","","","","","","","","","","","","","","","","","""nit4pa28ec""","Card Break","Assets","2020-03-02 15:43:27.634865","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nita4lcokn""","Link","Asset","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nit64m3knn""","Link","Location","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Location","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitujlkhpk""","Link","Asset Category","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Category","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitgmorv3u""","Link","Asset Movement","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Movement","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitbsbq4l9""","Card Break","Maintenance","2020-03-02 15:43:27.634865","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitl14d8vp""","Link","Asset Maintenance Team","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Maintenance Team","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitjmoj93d""","Link","Asset Maintenance","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Maintenance","","Asset Maintenance Team","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitohs04a5""","Link","Asset Maintenance Log","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Maintenance Log","","Asset Maintenance","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nit6a8viup""","Link","Asset Value Adjustment","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Value Adjustment","","Asset","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitlidq0j3""","Link","Asset Repair","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Repair","","Asset","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitbk3j4oc""","Link","Asset Capitalization","2020-03-02 15:43:27.634865","Administrator","","",0,"DocType","Asset Capitalization","","Asset","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitcif5u7r""","Card Break","Reports","2020-03-02 15:43:27.634865","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nit9f0qs8v""","Link","Asset Depreciation Ledger","2020-03-02 15:43:27.634865","Administrator","","",0,"Report","Asset Depreciation Ledger","","Asset","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitaagslnr""","Link","Asset Depreciations and Balances","2020-03-02 15:43:27.634865","Administrator","","",0,"Report","Asset Depreciations and Balances","","Asset","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitpp5tkkm""","Link","Asset Maintenance","2020-03-02 15:43:27.634865","Administrator","","",0,"Report","Asset Maintenance","Asset Maintenance","Asset Maintenance","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nitlgup42j""","Link","Asset Activity","2020-03-02 15:43:27.634865","Administrator","","",0,"Report","Asset Activity","Asset Activity","Asset Activity","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Build""","Build","Build","Workspace","2021-01-02 10:51:16.579957","Administrator",1.0,"","","Core","frappe","","","","hammer","","",0,1,0,"","","","","","","","","","","","","","""n5gkprfcej""","DocType","Module Def","2021-01-02 10:51:16.579957","Administrator","Module Def","","List","","","","","[]","Grey","","","""n5gvivio1c""","Card Break","Customization","2021-01-02 10:51:16.579957","Administrator","","Customize properties, naming, fields and more for standard doctypes",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gqt13kp8""","DocType","DocType","2021-01-02 10:51:16.579957","Administrator","DocType","","List","","","","","[]","","","","""n5gjiqfhgr""","Link","Customize Form","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Customize Form","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g6niqcis""","Link","Custom Field","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Custom Field","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5guuuhgst""","Link","Custom Translation","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Translation","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g4nin0vg""","Link","Navbar Settings","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Navbar Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gotmerqm""","Card Break","Modules","2021-01-02 10:51:16.579957","Administrator","","Group your custom doctypes under modules",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gsu5pcol""","Link","Module Def","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Module Def","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gj1s3ff8""","Link","Module Onboarding","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Module Onboarding","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gdom13ak""","Card Break","Packages","2021-01-02 10:51:16.579957","Administrator","","Packages are lightweight apps (collection of Module Defs) that can be created, imported, or released right from the UI",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gd7mnppq""","Link","Package","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Package","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g8g527rm""","Link","Package Import","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Package Import","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g5vfgsh9""","Card Break","Scripting","2021-01-02 10:51:16.579957","Administrator","","Automate processes and extend standard functionality using scripts and background jobs",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g19mp1si""","Link","Server Script","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Server Script","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gmubl66r""","Link","Client Script","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Client Script","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g7e7vun5""","Link","Scheduled Job Type","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Scheduled Job Type","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g5p4c2hk""","Card Break","Views","2021-01-02 10:51:16.579957","Administrator","","Build your own reports, print formats, and dashboards. Create personalized workspaces for easier navigation",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g216jfiu""","Link","Report","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Report","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g0kkjtid""","Link","Dashboard","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Dashboard","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gb1fhkd8""","Link","Print Format","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Print Format","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g9r32fag""","Link","Page","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Page","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g2sd4k5n""","Link","Workspace","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Workspace","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g9iplhhk""","Link","Dashboard Chart","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Dashboard Chart","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gitghc8o""","Card Break","System Logs","2021-01-02 10:51:16.579957","Administrator","","Monitor logs for errors, background jobs, communications, and user activity",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g70hhj8o""","Link","Background Jobs","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","RQ Job","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g825c4po""","Link","Scheduled Jobs Logs","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Scheduled Job Log","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5g0sc8vgf""","Link","Error Logs","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Error Log","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gh0gncm1""","Link","Activity Log","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Activity Log","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5gaf1e02p""","Link","Communication Logs","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Communication","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n5go1c72pk""","Link","Webhook Request Log","2021-01-02 10:51:16.579957","Administrator","","",0,"DocType","Webhook Request Log","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Buying""","Buying","Buying","Workspace","2020-01-28 11:50:26.195467","Administrator",5.0,"","","Buying","erpnext","","","","buying","","",0,1,0,"","""ndk89u5evc""","Purchase Orders Count","2020-01-28 11:50:26.195467","Administrator","Purchase Orders Count","","""ndk7c8lm0n""","Purchase Order Trends","2020-01-28 11:50:26.195467","Administrator","Purchase Order Trends","","","","","","","","","","","","","","","","","","""ndk5g21ltd""","Card Break","Buying","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ndk03enq2p""","Total Purchase Amount","2020-01-28 11:50:26.195467","Administrator","Total Purchase Amount","","","","","","","","","","","","","","","","","","","","","","","","""ndkivejngg""","Link","Material Request","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Material Request","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ndk3okb3g3""","Average Order Values","2020-01-28 11:50:26.195467","Administrator","Average Order Values","","","","","","","","","","","","","","","","","","","","","","","","""ndkq4e6e05""","Link","Purchase Order","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Purchase Order","","Item, Supplier","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkmbu7rrr""","Link","Purchase Invoice","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Purchase Invoice","","Item, Supplier","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkbokn80b""","Link","Request for Quotation","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Request for Quotation","","Item, Supplier","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkt6k8rgo""","Link","Supplier Quotation","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Quotation","","Item, Supplier","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk79qflne""","Card Break","Items & Pricing","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkl7gtbuu""","Link","Item","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkvah53vi""","Link","Item Price","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Item Price","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndknlmcvqj""","Link","Price List","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Price List","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk2lm33fj""","Link","Product Bundle","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Product Bundle","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkh2e3kdq""","Link","Item Group","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Item Group","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkn2tdeod""","Link","Promotional Scheme","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Promotional Scheme","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkpdvh5rp""","Link","Pricing Rule","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Pricing Rule","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkfbgk3o6""","Card Break","Settings","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk6u8llab""","Link","Buying Settings","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Buying Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkk1ol07g""","Link","Purchase Taxes and Charges Template","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Purchase Taxes and Charges Template","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkcavlf1r""","Link","Terms and Conditions Template","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Terms and Conditions","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkivok434""","Card Break","Supplier","2020-01-28 11:50:26.195467","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndk1cubj0l""","Link","Supplier","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkpmc5a3m""","Link","Supplier Group","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Supplier Group","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ndkib2ufmt""","Link","Contact","2020-01-28 11:50:26.195467","Administrator","","",0,"DocType","Contact","","","",0,0,"","","","","","","","","","","","","","","","","",""
